,question,contexts,ground_truth,evolution_type,metadata,episode_done
29,"What are some potential content provenance harms of GAI, and how can they be identified and ranked based on their likelihood and impact?","[""\\begin{center}\n\\begin{tabular}{|l|l|l|}\n\\hline\nAction ID & Suggested Action & GAI Risks \\\\\n\\hline\nMP-5.1-001 & \\begin{tabular}{l}\nApply TEVV practices for content provenance (e.g., probing a system's synthetic \\\\\ndata generation capabilities for potential misuse or vulnerabilities. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nInformation Integrity; Information \\\\\nSecurity \\\\\n\\end{tabular} \\\\\n\\hline\nMP-5.1-002 & \\begin{tabular}{l}\nIdentify potential content provenance harms of GAI, such as misinformation or \\\\\ndisinformation, deepfakes, including NCII, or tampered content. Enumerate and \\\\\nrank risks based on their likelihood and potential impact, and determine how well \\\\\nprovenance solutions address specific risks and/or harms. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nInformation Integrity; Dangerous, \\\\\nViolent, or Hateful Content; \\\\\nObscene, Degrading, and/or \\\\\nAbusive Content \\\\\n\\end{tabular} \\\\\n\\hline\nMP-5.1-003 & \\begin{tabular}{l}\nConsider disclosing use of GAI to end users in relevant contexts, while considering \\\\\nthe objective of disclosure, the context of use, the likelihood and magnitude of the \\\\\nrisk posed, the audience of the disclosure, as well as the frequency of the \\\\\ndisclosures. \\\\\n\\end{tabular} & Human-AI Configuration \\\\\n\\hline\nMP-5.1-004 & \\begin{tabular}{l}\nPrioritize GAI structured public feedback processes based on risk assessment \\\\\nestimates. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nInformation Integrity; CBRN \\\\\nInformation or Capabilities; \\\\\nDangerous, Violent, or Hateful \\\\\nContent; Harmful Bias and \\\\\nHomogenization \\\\\n\\end{tabular} \\\\\n\\hline\nMP-5.1-005 & \\begin{tabular}{l}\nConduct adversarial role-playing exercises, GAI red-teaming, or chaos testing to \\\\\nidentify anomalous or unforeseen failure modes. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nInformation Security \\\\\n\\end{tabular} \\\\\n\\hline\nUsers, Operation and Monitoring & \\begin{tabular}{l}\nProfile threats and negative impacts arising from GAI systems interacting with, \\\\"", '\\begin{center}\n\\begin{tabular}{|l|l|l|}\n\\hline\nAction ID & Suggested Action & GAI Risks \\\\\n\\hline\nMS-4.2-001 & \\begin{tabular}{l}\nConduct adversarial testing at a regular cadence to map and measure GAI risks, \\\\\nincluding tests to address attempts to deceive or manipulate the application of \\\\\nprovenance techniques or other misuses. Identify vulnerabilities and \\\\\nunderstand potential misuse scenarios and unintended outputs. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nInformation Integrity; Information \\\\\nSecurity \\\\\n\\end{tabular} \\\\\n\\hline\nMS-4.2-002 & \\begin{tabular}{l}\nEvaluate GAI system performance in real-world scenarios to observe its \\\\\nbehavior in practical environments and reveal issues that might not surface in \\\\\ncontrolled and optimized testing environments. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nHuman-AI Configuration; \\\\\nConfabulation; Information \\\\\nSecurity \\\\\n\\end{tabular} \\\\\n\\hline\nMS-4.2-003 & \\begin{tabular}{l}\nImplement interpretability and explainability methods to evaluate GAI system \\\\\ndecisions and verify alignment with intended purpose. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nInformation Integrity; Harmful Bias \\\\\nand Homogenization \\\\\n\\end{tabular} \\\\\n\\hline\nMS-4.2-004 & \\begin{tabular}{l}\nMonitor and document instances where human operators or other systems \\\\\noverride the GAI\'s decisions. Evaluate these cases to understand if the overrides \\\\\nare linked to issues related to content provenance. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nInformation Integrity \\\\\n\\end{tabular} \\\\\n\\hline\nMS-4.2-005 & \\begin{tabular}{l}\nVerify and document the incorporation of results of structured public feedback \\\\\nexercises into design, implementation, deployment approval (""go""/""no-go"" \\\\\ndecisions), monitoring, and decommission decisions. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nHuman-AI Configuration; \\\\\nInformation Security \\\\\n\\end{tabular} \\\\\n\\hline\nAI Actor Tasks: Al Deployment, Domain Experts, End-Users, Operation and Monitoring, TEVV &  &  \\\\\n\\hline\n\\end{tabular}']","Some potential content provenance harms of GAI include misinformation or disinformation, deepfakes, including NCII, or tampered content. These harms can be identified and ranked based on their likelihood and potential impact by enumerating the risks and determining how well provenance solutions address specific risks and/or harms.",simple,"[{'source': 'data/nist_ai.tex'}, {'source': 'data/nist_ai.tex'}]",True
30,What is the purpose of implementing real-time monitoring processes for analyzing generated content performance?,"['\\end{tabular} \\\\\n\\hline\nMG-3.2-004 & \\begin{tabular}{l}\nEvaluate user reported problematic content and integrate feedback into system \\\\\nupdates. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nHuman-Al Configuration, \\\\\nDangerous, Violent, or Hateful \\\\\nContent \\\\\n\\end{tabular} \\\\\n\\hline\nMG-3.2-005 & \\begin{tabular}{l}\nImplement content filters to prevent the generation of inappropriate, harmful, \\\\\nfalse, illegal, or violent content related to the GAI application, including for CSAM \\\\\nand NCII. These filters can be rule-based or leverage additional machine learning \\\\\nmodels to flag problematic inputs and outputs. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nInformation Integrity; Harmful Bias \\\\\nand Homogenization; Dangerous, \\\\\nViolent, or Hateful Content; \\\\\nObscene, Degrading, and/or \\\\\nAbusive Content \\\\\n\\end{tabular} \\\\\n\\hline\nMG-3.2-006 & \\begin{tabular}{l}\nImplement real-time monitoring processes for analyzing generated content \\\\\nperformance and trustworthiness characteristics related to content provenance \\\\\nto identify deviations from the desired standards and trigger alerts for human \\\\\nintervention. \\\\\n\\end{tabular} & Information Integrity \\\\\n\\hline\n\\end{tabular}\n\\end{center}']",The purpose of implementing real-time monitoring processes for analyzing generated content performance is to identify deviations from the desired standards and trigger alerts for human intervention.,simple,[{'source': 'data/nist_ai.tex'}],True
31,What are the concerns associated with GAI media in terms of promoting dangerous or violent messages?,"['\\footnotetext{${ }^{9}$ Confabulations of falsehoods are most commonly a problem for text-based outputs; for audio, image, or video content, creative generation of non-factual content can be a desired behavior.\\\\\n${ }^{10}$ For example, legal confabulations have been shown to be pervasive in current state-of-the-art LLMs. See also, e.g.,\n}\nunethical behavior. Text-to-image models also make it easy to create images that could be used to promote dangerous or violent messages. Similar concerns are present for other GAI media, including video and audio. GAI may also produce content that recommends self-harm or criminal/illegal activities.\nMany current systems restrict model outputs to limit certain content or in response to certain prompts, but this approach may still produce harmful recommendations in response to other less-explicit, novel prompts (also relevant to CBRN Information or Capabilities, Data Privacy, Information Security, and Obscene, Degrading and/or Abusive Content). Crafting such prompts deliberately is known as ""Â¡ailbreaking,"" or, manipulating prompts to circumvent output controls. Limitations of GAI systems can be harmful or dangerous in certain contexts. Studies have observed that users may disclose mental health issues in conversations with chatbots - and that users exhibit negative reactions to unhelpful responses from these chatbots during situations of distress.\n\nThis risk encompasses difficulty controlling creation of and public exposure to offensive or hateful language, and denigrating or stereotypical content generated by AI. This kind of speech may contribute to downstream harm such as fueling dangerous or violent behaviors. The spread of denigrating or stereotypical content can also further exacerbate representational harms (see Harmful Bias and Homogenization below).']","GAI media, including text-to-image models, video, and audio, can create content that promotes dangerous or violent messages. This risk includes the difficulty of controlling the creation and public exposure to offensive or hateful language, and denigrating or stereotypical content generated by AI, which may contribute to downstream harm such as fueling dangerous or violent behaviors.",simple,[{'source': 'data/nist_ai.tex'}],True
32,What techniques are suggested to evaluate the quality and integrity of training data?,"['\\begin{center}\n\\begin{tabular}{|l|l|l|}\n\\hline\n & \\begin{tabular}{l}\nImplement continuous monitoring of GAI system impacts to identify whether GAI \\\\\noutputs are equitable across various sub-populations. Seek active and direct \\\\\nfeedback from affected communities via structured feedback mechanisms or red- \\\\\nteaming to monitor and improve outputs. \\\\\n\\end{tabular} & Harmful Bias and Homogenization \\\\\n\\hline\nMS-1.1-007 & \\begin{tabular}{l}\nEvaluate the quality and integrity of data used in training and the provenance of \\\\\nAl-generated content, for example by employing techniques like chaos \\\\\nengineering and seeking stakeholder feedback. \\\\\n\\end{tabular} & Information Integrity \\\\\n\\hline\nMS-1.1-008 & \\begin{tabular}{l}\nDefine use cases, contexts of use, capabilities, and negative impacts where \\\\\nstructured human feedback exercises, e.g., GAI red-teaming, would be most \\\\\nbeneficial for GAI risk measurement and management based on the context of \\\\\nuse. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nHarmful Bias and \\\\\nHomogenization; CBRN \\\\\nInformation or Capabilities \\\\\n\\end{tabular} \\\\\n\\hline\nMS-1.1-009 & \\begin{tabular}{l}\nTrack and document risks or opportunities related to all GAI risks that cannot be \\\\\nmeasured quantitatively, including explanations as to why some risks cannot be \\\\\nmeasured (e.g., due to technological limitations, resource constraints, or \\\\\ntrustworthy considerations). Include unmeasured risks in marginal risks. \\\\\n\\end{tabular} & Information Integrity \\\\\n\\hline\nAI Actor Tasks: Al Development, Domain Experts, TEVV &  &  \\\\\n\\hline\n\\end{tabular}\n\\end{center}\n\nMEASURE 1.3: Internal experts who did not serve as front-line developers for the system and/or independent assessors are involved in regular assessments and updates. Domain experts, users, Al Actors external to the team that developed or deployed the Al system, and affected communities are consulted in support of assessments as necessary per organizational risk tolerance.']",Techniques suggested to evaluate the quality and integrity of training data include employing chaos engineering and seeking stakeholder feedback.,simple,[{'source': 'data/nist_ai.tex'}],True
33,What role does digital watermarking play in provenance data tracking for GAI systems?,"['Provenance metadata can include information about GAI model developers or creators of GAI content, date/time of creation, location, modifications, and sources. Metadata can be tracked for text, images, videos, audio, and underlying datasets. The implementation of provenance data tracking techniques can help assess the authenticity, integrity, intellectual property rights, and potential manipulations in digital content. Some well-known techniques for provenance data tracking include digital watermarking, metadata recording, digital fingerprinting, and human authentication, among others.\n\\section*{Provenance Data Tracking Approaches}\nProvenance data tracking techniques for GAI systems can be used to track the history and origin of data inputs, metadata, and synthetic content. Provenance data tracking records the origin and history for digital content, allowing its authenticity to be determined. It consists of techniques to record metadata as well as overt and covert digital watermarks on content. Data provenance refers to tracking the origin and history of input data through metadata and digital watermarking techniques. Provenance data tracking processes can include and assist AI Actors across the lifecycle who may not have full visibility or control over the various trade-offs and cascading impacts of early-stage model decisions on downstream performance and synthetic outputs. For example, by selecting a watermarking model to prioritize robustness (the durability of a watermark), an AI actor may inadvertently diminish computational complexity (the resources required to implement watermarking). Organizational risk management efforts for enhancing content provenance include:\n\\begin{itemize}\n  \\item Tracking provenance of training data and metadata for GAI systems;\n  \\item Documenting provenance data limitations within GAI systems;\n  \\item Monitoring system capabilities and limitations in deployment through rigorous TEVV processes;']","Digital watermarking plays a role in provenance data tracking for GAI systems by recording the origin and history of digital content. It is used to embed overt and covert watermarks on content, which helps in determining the authenticity and integrity of the content.",simple,[{'source': 'data/nist_ai.tex'}],True
34,"Who are the AI Actors that interact with GAI systems, and what activities do they engage in?","[""Acknowledgments: These considerations could not have been surfaced without the helpful analysis and contributions from the community and NIST staff GAI PWG leads: George Awad, Luca Belli, Harold Booth, Mat Heyman, Yooyoung Lee, Mark Pryzbocki, Reva Schwartz, Martin Stanley, and Kyra Yee.\n\\section*{A.1. Governance}\n\\section*{A.1.1. Overview}\nLike any other technology system, governance principles and techniques can be used to manage risks related to generative AI models, capabilities, and applications. Organizations may choose to apply their existing risk tiering to GAI systems, or they may opt to revise or update Al system risk levels to address these unique GAI risks. This section describes how organizational governance regimes may be reevaluated and adjusted for GAI contexts. It also addresses third-party considerations for governing across the Al value chain.\n\\section*{A.1.2. Organizational Governance}\nGAI opportunities, risks and long-term performance characteristics are typically less well-understood than non-generative Al tools and may be perceived and acted upon by humans in ways that vary greatly. Accordingly, GAI may call for different levels of oversight from AI Actors or different human-AI configurations in order to manage their risks effectively. Organizations' use of GAl systems may also warrant additional human review, tracking and documentation, and greater management oversight.\n\nAl technology can produce varied outputs in multiple modalities and present many classes of user interfaces. This leads to a broader set of AI Actors interacting with GAI systems for widely differing applications and contexts of use. These can include data labeling and preparation, development of GAI models, content moderation, code generation and review, text generation and editing, image and video generation, summarization, search, and chat. These activities can take place within organizational settings or in the public domain.""]","AI Actors interact with GAI systems for activities including data labeling and preparation, development of GAI models, content moderation, code generation and review, text generation and editing, image and video generation, summarization, search, and chat.",simple,[{'source': 'data/nist_ai.tex'}],True
35,"How can structured public feedback inform decisions related to the design, implementation, and maintenance of AI systems?","['\\item Al Red-teaming: A structured testing exercise used to probe an AI system to find flaws and vulnerabilities such as inaccurate, harmful, or discriminatory outputs, often in a controlled environment and in collaboration with system developers.\n\\end{itemize}\nInformation gathered from structured public feedback can inform design, implementation, deployment approval, maintenance, or decommissioning decisions. Results and insights gleaned from these exercises can serve multiple purposes, including improving data quality and preprocessing, bolstering governance decision making, and enhancing system documentation and debugging practices. When implementing feedback activities, organizations should follow human subjects research requirements and best practices such as informed consent and subject compensation.\n\\section*{Participatory Engagement Methods}\nOn an ad hoc or more structured basis, organizations can design and use a variety of channels to engage external stakeholders in product development or review. Focus groups with select experts can provide feedback on a range of issues. Small user studies can provide feedback from representative groups or populations. Anonymous surveys can be used to poll or gauge reactions to specific features. Participatory engagement methods are often less structured than field testing or red teaming, and are more commonly used in early stages of AI or product development.\n\\section*{Field Testing}\nField testing involves structured settings to evaluate risks and impacts and to simulate the conditions under which the GAI system will be deployed. Field style tests can be adapted from a focus on user preferences and experiences towards Al risks and impacts - both negative and positive. When carried out with large groups of users, these tests can provide estimations of the likelihood of risks and impacts in real world interactions.']","Information gathered from structured public feedback can inform design, implementation, deployment approval, maintenance, or decommissioning decisions. Results and insights gleaned from these exercises can serve multiple purposes, including improving data quality and preprocessing, bolstering governance decision making, and enhancing system documentation and debugging practices.",simple,[{'source': 'data/nist_ai.tex'}],True
36,What are the risks associated with Generative AI (GAI) and how can organizations manage them?,"['A profile is an implementation of the AI RMF functions, categories, and subcategories for a specific setting, application, or technology - in this case, Generative AI (GAI) - based on the requirements, risk tolerance, and resources of the Framework user. AI RMF profiles assist organizations in deciding how to best manage Al risks in a manner that is well-aligned with their goals, considers legal/regulatory requirements and best practices, and reflects risk management priorities. Consistent with other AI RMF profiles, this profile offers insights into how risk can be managed across various stages of the Al lifecycle and for GAI as a technology.\n\nAs GAI covers risks of models or applications that can be used across use cases or sectors, this document is an AI RMF cross-sectoral profile. Cross-sectoral profiles can be used to govern, map, measure, and manage risks associated with activities or business processes common across sectors, such as the use of large language models (LLMs), cloud-based services, or acquisition.\n\nThis document defines risks that are novel to or exacerbated by the use of GAI. After introducing and describing these risks, the document provides a set of suggested actions to help organizations govern, map, measure, and manage these risks.']","The document defines risks that are novel to or exacerbated by the use of Generative AI (GAI). It provides a set of suggested actions to help organizations govern, map, measure, and manage these risks.",simple,[{'source': 'data/nist_ai.tex'}],True
37,How does undesired homogenization in GAI systems contribute to unreliable decision-making and amplification of harmful biases?,"['Harmful bias in GAI systems can also lead to harms via disparities between how a model performs for different subgroups or languages (e.g., an LLM may perform less well for non-English languages or certain dialects). Such disparities can contribute to discriminatory decision-making or amplification of existing societal biases. In addition, GAI systems may be inappropriately trusted to perform similarly across all subgroups, which could leave the groups facing underperformance with worse outcomes than if no GAI system were used. Disparate or reduced performance for lower-resource languages also presents challenges to model adoption, inclusion, and accessibility, and may make preservation of endangered languages more difficult if GAI systems become embedded in everyday processes that would otherwise have been opportunities to use these languages.\n\nBias is mutually reinforcing with the problem of undesired homogenization, in which GAI systems produce skewed distributions of outputs that are overly uniform (for example, repetitive aesthetic styles\\\\\nand reduced content diversity). Overly homogenized outputs can themselves be incorrect, or they may lead to unreliable decision-making or amplify harmful biases. These phenomena can flow from foundation models to downstream models and systems, with the foundation models acting as ""bottlenecks,"" or single points of failure.\n\nOverly homogenized content can contribute to ""model collapse."" Model collapse can occur when model training over-relies on synthetic data, resulting in data points disappearing from the distribution of the new model\'s outputs. In addition to threatening the robustness of the model overall, model collapse could lead to homogenized outputs, including by amplifying any homogenization from the model used to generate the synthetic training data.']","Undesired homogenization in GAI systems contributes to unreliable decision-making and amplification of harmful biases by producing skewed distributions of outputs that are overly uniform. These overly homogenized outputs can be incorrect and may lead to unreliable decision-making or amplify harmful biases. This phenomenon can flow from foundation models to downstream models and systems, with the foundation models acting as 'bottlenecks' or single points of failure.",simple,[{'source': 'data/nist_ai.tex'}],True
38,"What processes are defined, assessed, and documented to ensure operator and practitioner proficiency with AI system performance and trustworthiness?","['MAP 3.4: Processes for operator and practitioner proficiency with Al system performance and trustworthiness - and relevant technical standards and certifications - are defined, assessed, and documented.\n\n\\begin{center}\n\\begin{tabular}{|l|l|l|}\n\\hline\nAction ID & Suggested Action & GAI Risks \\\\\n\\hline\nMP-3.4-001 & \\begin{tabular}{l}\nEvaluate whether GAI operators and end-users can accurately understand \\\\\ncontent lineage and origin. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nHuman-AI Configuration; \\\\\nInformation Integrity \\\\\n\\end{tabular} \\\\\n\\hline\nMP-3.4-002 & \\begin{tabular}{l}\nAdapt existing training programs to include modules on digital content \\\\\ntransparency. \\\\\n\\end{tabular} & Information Integrity \\\\\n\\hline\nMP-3.4-003 & \\begin{tabular}{l}\nDevelop certification programs that test proficiency in managing GAI risks and \\\\\ninterpreting content provenance, relevant to specific industry and context. \\\\\n\\end{tabular} & Information Integrity \\\\\n\\hline\nMP-3.4-004 & Delineate human proficiency tests from tests of GAI capabilities. & Human-AI Configuration \\\\\n\\hline\nMP-3.4-005 & \\begin{tabular}{l}\nImplement systems to continually monitor and track the outcomes of human-GAI \\\\\nconfigurations for future refinement and improvements. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nHuman-AI Configuration; \\\\\nInformation Integrity \\\\\n\\end{tabular} \\\\\n\\hline\nMP-3.4-006 & \\begin{tabular}{l}\nInvolve the end-users, practitioners, and operators in GAI system in prototyping \\\\\nand testing activities. Make sure these tests cover various scenarios, such as crisis \\\\\nsituations or ethically sensitive contexts. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nHuman-AI Configuration; \\\\\nInformation Integrity; Harmful Bias \\\\\nand Homogenization; Dangerous, \\\\\nViolent, or Hateful Content \\\\\n\\end{tabular} \\\\\n\\hline\n\\end{tabular}\n\\end{center}']","Processes for operator and practitioner proficiency with AI system performance and trustworthiness are defined, assessed, and documented.",simple,[{'source': 'data/nist_ai.tex'}],True
39,How does the GAI system architecture handle security anomalies and threats?,"['Hateful Content \\\\\n\\end{tabular} \\\\\n\\hline\nMS-2.6-005 & \\begin{tabular}{l}\nVerify that GAI system architecture can monitor outputs and performance, and \\\\\nhandle, recover from, and repair errors when security anomalies, threats and \\\\\nimpacts are detected. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nConfabulation; Information \\\\\nIntegrity; Information Security \\\\\n\\end{tabular} \\\\\n\\hline\nMS-2.6-006 & \\begin{tabular}{l}\nVerify that systems properly handle queries that may give rise to inappropriate, \\\\\nmalicious, or illegal usage, including facilitating manipulation, extortion, targeted \\\\\nimpersonation, cyber-attacks, and weapons creation. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nCBRN Information or Capabilities; \\\\\nInformation Security \\\\\n\\end{tabular} \\\\\n\\hline\nMS-2.6-007 & \\begin{tabular}{l}\nRegularly evaluate GAI system vulnerabilities to possible circumvention of safety \\\\\nmeasures. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nCBRN Information or Capabilities; \\\\\nInformation Security \\\\\n\\end{tabular} \\\\\n\\hline\n\\multicolumn{3}{|l|}{AI Actor Tasks: AI Deployment, Al Impact Assessment, Domain Experts, Operation and Monitoring, TEVV} \\\\\n\\hline\n\\end{tabular}\n\\end{center}']","The GAI system architecture can monitor outputs and performance, and handle, recover from, and repair errors when security anomalies, threats, and impacts are detected.",simple,[{'source': 'data/nist_ai.tex'}],True
40,What is the importance of assessing the proportion of synthetic to non-synthetic training data in AI model training?,"['${ }^{15}$ Winogender Schemas is a sample set of paired sentences which differ only by gender of the pronouns used, which can be used to evaluate gender bias in natural language processing coreference resolution systems.\n\n\\begin{center}\n\\begin{tabular}{|l|l|l|}\n\\hline\nMS-2.11-005 & \\begin{tabular}{l}\nAssess the proportion of synthetic to non-synthetic training data and verify \\\\\ntraining data is not overly homogenous or GAI-produced to mitigate concerns of \\\\\nmodel collapse. \\\\\n\\end{tabular} & Harmful Bias and Homogenization \\\\\n\\hline\n\\begin{tabular}{l}\nAl Actor Tasks: Al Deployment, AI Impact Assessment, Affected Individuals and Communities, Domain Experts, End-Users, \\\\\nOperation and Monitoring, TEVV \\\\\n\\end{tabular} &  &  \\\\\n\\hline\n\\end{tabular}\n\\end{center}\n\nMEASURE 2.12: Environmental impact and sustainability of AI model training and management activities - as identified in the MAP function - are assessed and documented.']","Assessing the proportion of synthetic to non-synthetic training data is important to verify that the training data is not overly homogenous or GAI-produced, which helps mitigate concerns of model collapse.",simple,[{'source': 'data/nist_ai.tex'}],True
41,What is the purpose of using structured feedback mechanisms in assessing AI-generated content?,"['\\begin{center}\n\\begin{tabular}{|l|l|l|}\n\\hline\nMG-2.2-006 & \\begin{tabular}{l}\nUse feedback from internal and external Al Actors, users, individuals, and \\\\\ncommunities, to assess impact of Al-generated content. \\\\\n\\end{tabular} & Human-AI Configuration \\\\\n\\hline\nMG-2.2-007 & \\begin{tabular}{l}\nUse real-time auditing tools where they can be demonstrated to aid in the \\\\\ntracking and validation of the lineage and authenticity of Al-generated data. \\\\\n\\end{tabular} & Information Integrity \\\\\n\\hline\nMG-2.2-008 & \\begin{tabular}{l}\nUse structured feedback mechanisms to solicit and capture user input about AI- \\\\\ngenerated content to detect subtle shifts in quality or alignment with \\\\\ncommunity and societal values. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nHuman-Al Configuration; Harmful \\\\\nBias and Homogenization \\\\\n\\end{tabular} \\\\\n\\hline\nMG-2.2-009 & \\begin{tabular}{l}\nConsider opportunities to responsibly use synthetic data and other privacy \\\\\nenhancing techniques in GAI development, where appropriate and applicable, \\\\\nmatch the statistical properties of real-world data without disclosing personally \\\\\nidentifiable information or contributing to homogenization. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nData Privacy; Intellectual Property; \\\\\nInformation Integrity; \\\\\nConfablation; Harmful Bias and \\\\\nHomogenization \\\\\n\\end{tabular} \\\\\n\\hline\n\\end{tabular}\n\\end{center}\n\nMANAGE 2.3: Procedures are followed to respond to and recover from a previously unknown risk when it is identified.']",The purpose of using structured feedback mechanisms is to solicit and capture user input about AI-generated content to detect subtle shifts in quality or alignment with community and societal values.,simple,[{'source': 'data/nist_ai.tex'}],True
42,How can GAI systems contribute to the erosion of public trust?,"['GAI systems can also ease the deliberate production or dissemination of false or misleading information (disinformation) at scale, where an actor has the explicit intent to deceive or cause harm to others. Even very subtle changes to text or images can manipulate human and machine perception.\n\nSimilarly, GAI systems could enable a higher degree of sophistication for malicious actors to produce disinformation that is targeted towards specific demographics. Current and emerging multimodal models make it possible to generate both text-based disinformation and highly realistic ""deepfakes"" - that is, synthetic audiovisual content and photorealistic images. ${ }^{12}$ Additional disinformation threats could be enabled by future GAI models trained on new data modalities.\n\nDisinformation and misinformation - both of which may be facilitated by GAI - may erode public trust in true or valid evidence and information, with downstream effects. For example, a synthetic image of a Pentagon blast went viral and briefly caused a drop in the stock market. Generative AI models can also assist malicious actors in creating compelling imagery and propaganda to support disinformation campaigns, which may not be photorealistic, but could enable these campaigns to gain more reach and engagement on social media platforms. Additionally, generative AI models can assist malicious actors in creating fraudulent content intended to impersonate others.']","GAI systems can contribute to the erosion of public trust by facilitating the production and dissemination of disinformation and misinformation. This can include generating synthetic audiovisual content, photorealistic images, and compelling imagery and propaganda, which can manipulate human and machine perception. Such activities can lead to downstream effects, such as a synthetic image of a Pentagon blast causing a drop in the stock market.",simple,[{'source': 'data/nist_ai.tex'}],True
43,What governance tools and protocols can be applied to GAI systems to restrict harmful applications and ensure alignment with organizational values?,"['Organizations can restrict AI applications that cause harm, exceed stated risk tolerances, or that conflict with their tolerances or values. Governance tools and protocols that are applied to other types of AI systems can be applied to GAI systems. These plans and actions include:\n\\begin{itemize}\n  \\item Accessibility and reasonable accommodations\n  \\item Al actor credentials and qualifications\n  \\item Alignment to organizational values\n  \\item Auditing and assessment\n  \\item Change-management controls\n  \\item Commercial use\n  \\item Data provenance\n  \\item Data protection\n  \\item Data retention\n  \\item Consistency in use of defining key terms\n  \\item Decommissioning\n  \\item Discouraging anonymous use\n  \\item Education\n  \\item Impact assessments\n  \\item Incident response\n  \\item Monitoring\n  \\item Opt-outs\n  \\item Risk-based controls\n  \\item Risk mapping and measurement\n  \\item Science-backed TEVV practices\n  \\item Secure software development practices\n  \\item Stakeholder engagement\n  \\item Synthetic content detection and labeling tools and techniques\n  \\item Whistleblower protections\n  \\item Workforce diversity and interdisciplinary teams\n\\end{itemize}\nEstablishing acceptable use policies and guidance for the use of GAI in formal human-Al teaming settings as well as different levels of human-Al configurations can help to decrease risks arising from misuse, abuse, inappropriate repurpose, and misalignment between systems and users. These practices are just one example of adapting existing governance protocols for GAI contexts.\n\\section*{A.1.3. Third-Party Considerations}']","Governance tools and protocols that can be applied to GAI systems include accessibility and reasonable accommodations, AI actor credentials and qualifications, alignment to organizational values, auditing and assessment, change-management controls, commercial use, data provenance, data protection, data retention, consistency in use of defining key terms, decommissioning, discouraging anonymous use, education, impact assessments, incident response, monitoring, opt-outs, risk-based controls, risk mapping and measurement, science-backed TEVV practices, secure software development practices, stakeholder engagement, synthetic content detection and labeling tools and techniques, whistleblower protections, and workforce diversity and interdisciplinary teams.",simple,[{'source': 'data/nist_ai.tex'}],True
44,What should be assessed to ensure the use of proprietary or sensitive training data is consistent with applicable laws?,"['\\begin{center}\n\\begin{tabular}{|l|l|l|}\n\\hline\nMP-4.1-010 & \\begin{tabular}{l}\nConduct appropriate diligence on training data use to assess intellectual property, \\\\\nand privacy, risks, including to examine whether use of proprietary or sensitive \\\\\ntraining data is consistent with applicable laws. \\\\\n\\end{tabular} & Intellectual Property; Data Privacy \\\\\n\\hline\nAI Actor Tasks: Governance and Oversight, Operation and Monitoring, Procurement, Third-party entities &  &  \\\\\n\\hline\n\\end{tabular}\n\\end{center}\n\nMAP 5.1: Likelihood and magnitude of each identified impact (both potentially beneficial and harmful) based on expected use, past uses of Al systems in similar contexts, public incident reports, feedback from those external to the team that developed or deployed the Al system, or other data are identified and documented.']","To ensure the use of proprietary or sensitive training data is consistent with applicable laws, appropriate diligence on training data use should be conducted to assess intellectual property and privacy risks.",simple,[{'source': 'data/nist_ai.tex'}],True
